B365H,B365D,B365A
1.9,3.2,3.5
1.5,3.4,6.0
2.8,3.1,2.25
1.66,3.3,4.5
2.37,3.1,2.62
3.0,3.0,2.2
3.1,2.87,2.2
1.8,3.3,3.75
1.5,3.4,6.0
2.5,3.1,2.5
1.61,3.3,5.0
10.0,4.0,1.28
2.87,3.0,2.25
1.2,5.0,11.0
2.1,3.2,3.0
1.83,3.2,3.75
1.61,3.1,5.5
1.5,3.4,6.0
1.66,3.3,4.5
1.3,4.33,8.0
1.9,3.25,3.4
1.9,3.1,3.6
2.75,3.25,2.2
1.72,3.25,4.2
1.61,3.25,5.0
2.2,3.0,3.0
1.44,3.6,6.5
2.37,2.9,2.75
3.5,3.2,1.9
1.4,3.6,7.5
1.4,3.6,7.5
5.0,3.5,1.57
3.75,3.2,1.83
1.57,3.25,5.5
1.8,3.1,4.0
1.66,3.3,4.5
2.0,3.1,3.3
2.4,3.1,2.6
4.5,3.3,1.66
1.22,5.0,9.5
1.9,3.2,3.5
2.2,3.1,2.87
1.83,3.2,3.75
1.53,3.4,5.5
1.25,4.5,10.0
2.5,3.1,2.5
1.36,4.0,7.0
3.1,3.1,2.1
3.2,3.2,2.0
1.3,4.2,8.5
2.25,3.2,2.75
2.0,3.1,3.3
1.8,3.1,4.0
2.0,3.2,3.2
5.0,3.5,1.57
2.2,3.1,2.87
1.8,3.3,3.75
2.25,3.1,2.8
3.2,3.2,2.0
1.5,3.6,5.5
2.5,3.1,2.5
2.75,3.2,2.25
1.44,3.25,8.0
2.0,3.2,3.2
1.44,3.6,6.5
10.0,4.5,1.25
1.9,3.1,3.6
1.9,3.4,3.25
1.83,3.2,3.75
1.44,3.6,6.5
1.44,3.6,6.5
2.62,3.25,2.3
2.75,3.1,2.3
2.0,3.1,3.3
3.5,3.4,1.83
1.4,3.75,7.0
4.33,3.4,1.66
1.9,3.25,3.4
2.25,3.2,2.75
2.8,3.1,2.25
1.53,3.25,6.0
2.62,3.1,2.37
1.22,5.0,9.5
2.0,3.2,3.2
1.33,4.0,8.0
1.9,3.1,3.6
1.72,3.25,4.2
1.2,5.5,9.0
2.5,2.9,2.62
2.0,3.0,3.4
1.25,5.0,8.0
1.8,3.5,3.5
1.833,3.2,3.75
2.3,3.25,2.625
3.4,3.25,1.909
1.533,3.4,5.5
6.0,3.75,1.444
2.6,3.1,2.4
1.57,3.4,5.5
4.333,3.2,1.727
2.1,3.2,3.0
8.0,3.75,1.364
1.4,3.6,7.5
2.1,3.0,3.2
1.3,4.5,7.5
1.833,3.3,3.6
1.571,3.5,5.0
1.571,3.5,5.0
2.8,3.2,2.2
1.333,4.5,6.5
1.2,5.0,11.0
2.625,3.25,2.3
1.444,3.3,7.5
1.533,3.4,5.5
1.727,3.25,4.333
2.8,3.25,2.2
2.25,3.25,2.75
1.727,3.25,4.333
1.667,3.4,4.5
1.2,5.0,12.0
2.25,3.25,2.75
1.222,5.0,10.0
3.0,3.25,2.1
1.571,3.4,5.5
2.75,3.25,2.25
2.625,3.2,2.375
2.1,3.25,3.0
1.333,4.333,7.5
2.5,3.2,2.5
2.0,3.25,3.25
2.1,3.0,3.25
1.833,3.25,3.75
3.75,3.25,1.833
4.0,3.5,1.727
1.17,5.5,13.0
2.4,3.2,2.6
2.2,3.25,2.8
3.0,3.25,2.1
1.67,3.4,4.5
1.5,3.4,6.5
3.0,3.25,2.1
4.0,3.25,1.8
1.727,3.25,4.333
2.2,3.25,2.8
5.0,3.4,1.615
1.667,3.4,4.5
2.625,3.2,2.375
1.727,3.5,4.0
2.5,3.0,2.625
3.0,3.0,2.25
1.615,3.4,5.0
1.333,4.0,9.0
1.333,4.333,7.5
2.1,3.0,3.25
1.8,3.25,4.0
2.5,3.2,2.5
2.375,3.2,2.625
1.25,4.5,11.0
1.2,5.5,10.0
2.1,3.25,3.0
2.0,3.25,3.25
1.571,3.4,5.5
4.333,3.25,1.727
5.0,3.4,1.615
1.909,3.25,3.5
2.3,3.2,2.7
2.75,3.0,2.375
2.1,3.25,3.0
2.25,3.25,2.75
1.909,3.25,3.5
1.667,3.4,4.5
2.5,3.0,2.625
1.2,5.5,10.0
1.25,4.5,11.0
1.444,3.75,6.5
1.667,3.4,4.5
1.727,3.2,4.5
2.0,3.25,3.25
2.1,3.25,3.0
1.833,3.25,3.75
2.75,3.25,2.25
2.625,3.0,2.5
2.625,3.2,2.375
2.0,3.25,3.25
4.5,3.4,1.667
1.571,3.4,5.5
2.25,3.25,2.75
3.0,3.25,2.1
2.8,3.25,2.2
2.375,3.0,2.75
1.833,3.25,3.75
2.6,3.2,2.4
1.533,3.5,5.5
1.4,3.75,7.5
2.3,3.2,2.7
1.727,3.25,4.333
1.167,5.5,13.0
2.6,3.2,2.4
2.1,3.25,3.0
1.667,3.4,4.5
1.727,3.25,4.333
1.3,4.5,8.0
2.3,3.2,2.7
5.5,3.5,1.533
4.333,3.25,1.727
2.75,3.0,2.375
2.6,3.2,2.4
2.0,3.25,3.25
2.375,3.0,2.75
2.8,3.2,2.25
1.533,3.5,5.5
1.727,3.25,4.333
1.8,3.25,4.0
1.3,4.5,8.0
2.1,3.25,3.0
1.4,3.75,7.5
1.533,3.5,5.5
1.3,4.5,8.0
2.2,3.25,2.8
1.533,3.5,5.5
2.375,3.2,2.625
2.0,3.25,3.25
2.1,3.25,3.0
1.909,3.25,3.5
1.333,4.333,7.5
1.333,4.333,7.5
2.4,3.2,2.6
1.727,3.25,4.333
1.909,3.25,3.5
4.5,3.4,1.667
1.727,3.25,4.333
2.3,3.2,2.7
2.0,3.25,3.25
1.5,3.5,6.0
2.2,3.25,2.8
2.0,3.25,3.25
1.444,3.75,6.5
1.667,3.4,4.5
3.5,3.25,1.909
3.25,3.25,2.0
2.25,3.25,2.75
2.7,3.2,2.3
2.375,3.2,2.625
1.533,3.5,5.5
1.727,3.2,4.5
1.667,3.4,4.5
1.615,3.4,5.0
2.625,3.0,2.5
2.3,3.2,2.7
2.1,3.25,3.0
1.5,3.5,6.0
1.364,4.0,7.5
4.0,3.25,1.8
1.8,3.25,4.0
3.5,3.25,1.909
1.444,3.6,7.0
3.75,3.25,1.833
1.615,3.4,5.0
1.727,3.25,4.333
4.333,3.25,1.727
1.909,3.25,3.5
2.4,3.2,2.6
2.1,3.25,3.0
1.333,4.0,9.0
2.6,3.2,2.4
2.0,3.25,3.25
1.4,3.75,7.5
1.8,3.25,4.0
2.7,3.2,2.3
1.8,3.25,4.0
2.3,3.2,2.7
1.909,3.25,3.5
2.25,3.25,2.75
2.375,3.2,2.625
2.6,3.2,2.4
3.5,3.25,1.909
2.5,3.2,2.5
2.1,3.25,3.0
2.25,3.25,2.75
1.615,3.4,5.0
1.727,3.5,4.0
1.444,3.6,7.0
2.3,3.2,2.7
1.8,3.25,4.0
2.1,3.25,3.0
1.833,3.25,3.75
1.286,4.5,9.0
2.625,3.2,2.375
2.3,3.2,2.7
1.8,3.25,4.0
4.333,3.25,1.727
3.0,3.1,2.2
2.4,3.2,2.6
1.4,3.75,7.5
2.2,3.25,2.8
1.5,3.5,6.0
1.909,3.25,3.5
1.533,3.5,5.5
2.375,2.875,2.875
1.833,3.25,3.75
4.0,3.5,1.727
1.833,3.25,3.75
2.25,3.25,2.75
2.5,3.2,2.5
3.0,3.25,2.1
1.5,3.5,6.0
1.615,3.6,4.5
1.909,3.25,3.5
4.0,3.25,1.8
2.4,3.2,2.6
1.667,3.4,4.5
5.5,3.5,1.533
2.25,3.25,2.75
2.25,3.25,2.75
1.615,3.4,5.0
1.667,3.5,4.333
1.533,3.5,5.5
2.25,3.4,2.625
2.625,3.2,2.375
1.25,5.0,9.0
1.667,3.5,4.333
1.727,3.25,4.333
1.8,3.4,3.75
1.8,3.25,4.0
1.727,3.25,4.333
1.909,3.25,3.5
1.8,3.25,4.0
1.615,3.4,5.0
1.2,5.5,10.0
2.3,3.2,2.7
2.2,3.25,3.25
2.25,3.25,2.75
1.571,3.4,5.5
1.533,3.5,5.5
2.25,3.25,2.75
2.1,3.25,3.0
2.5,3.2,2.5
5.5,3.5,1.533
2.7,3.2,2.3
5.0,3.4,1.615
1.909,3.25,3.5
2.2,3.25,2.8
1.615,3.4,5.0
1.727,3.5,4.0
1.615,3.4,5.0
1.533,3.5,5.5
1.727,3.25,4.333
1.727,3.5,4.0
2.4,3.2,2.6
1.286,5.0,7.5
2.2,3.2,2.875
2.1,3.25,3.0
1.4,3.75,7.5
2.5,3.2,2.5
1.615,3.4,5.0
1.8,3.25,4.0
2.5,3.2,2.5
2.625,3.2,2.375
1.727,3.25,4.333
2.3,3.2,2.7
2.5,3.2,2.5
2.5,3.2,2.5
1.25,5.0,9.0
2.25,3.25,2.75
1.66,3.4,4.5
1.9,3.25,3.5
1.5,3.5,6.0
4.0,3.25,1.8
2.4,3.2,2.6
2.2,3.25,2.8
3.25,3.25,2.0
6.5,3.75,1.444
4.0,3.25,1.8
2.2,3.25,2.8
2.25,3.25,2.75
2.25,3.25,2.75
1.727,3.5,4.0
1.444,3.75,6.5
1.5,3.5,6.0
2.3,3.2,2.7
1.4,3.75,7.5
2.625,3.2,2.375
1.727,3.25,4.333
5.5,3.5,1.533
2.1,3.25,3.0
1.533,3.5,5.5
1.833,3.25,3.75
2.5,3.2,2.5
4.333,3.25,1.727
2.5,3.0,2.625
3.75,3.25,1.833
2.375,3.2,2.625
1.727,3.25,4.333
1.909,3.25,3.5
1.615,3.4,5.0
2.25,3.25,2.75
2.0,3.25,3.25
1.615,3.4,5.0
2.4,3.2,2.6
1.3,4.5,8.0
1.909,3.25,3.5
1.36,4.0,7.5
2.7,3.2,2.3
1.444,3.75,6.5
4.5,3.4,1.66
4.0,3.25,1.8
2.62,3.2,2.37
1.72,3.25,4.33
2.2,3.25,2.8
2.2,3.25,2.8
2.3,3.2,2.7
1.8,3.25,4.0
2.5,3.2,2.5
4.33,3.25,1.72
1.833,3.25,3.75
1.571,3.6,5.0
1.286,4.5,9.0
1.909,3.25,3.5
1.615,3.4,5.0
1.8,3.25,4.0
1.667,3.4,4.5
1.444,3.75,6.5
1.571,3.4,5.5
2.3,3.2,2.7
4.5,3.4,1.667
2.2,3.25,2.8
1.909,3.25,3.5
1.727,3.25,4.333
1.533,3.5,5.5
2.0,3.25,3.25
5.0,3.4,1.615
1.727,3.25,4.333
2.5,3.2,2.5
2.25,3.25,2.75
1.667,3.4,4.5
1.727,3.25,4.333
1.5,3.5,6.0
1.909,3.25,3.5
1.444,3.5,7.5
2.2,3.25,2.8
2.625,3.2,2.375
3.5,3.25,1.909
2.0,3.25,3.25
2.25,3.25,2.75
1.8,3.25,4.0
2.8,3.25,2.2
2.2,3.25,2.8
2.1,3.25,3.0
2.5,3.2,2.5
3.0,3.25,2.1
1.3,4.5,8.0
3.75,3.25,1.833
2.2,3.25,2.8
2.1,3.25,3.0
2.1,3.25,3.0
1.8,3.4,3.6
1.727,3.2,4.333
1.4,3.75,7.0
1.571,3.6,5.0
1.5,3.4,6.0
3.0,3.25,2.1
1.833,3.5,3.5
1.667,3.4,4.5
2.1,3.25,3.0
5.0,3.6,1.571
2.2,3.25,2.8
1.4,4.0,6.5
1.8,3.25,4.0
2.0,3.4,3.0
4.5,3.4,1.667
5.0,3.6,1.571
2.2,3.4,2.75
5.0,3.4,1.615
1.4,3.75,7.5
1.286,4.5,9.0
2.4,3.2,2.6
1.333,4.333,7.5
1.143,6.5,12.0
2.1,3.25,3.0
1.4,3.75,7.5
2.375,3.6,2.375
2.5,3.4,2.375
1.3,4.5,8.0
1.444,3.75,6.5
3.25,3.5,1.909
1.571,3.6,5.0
2.1,3.25,3.0
2.375,3.0,2.75
2.5,3.4,2.375
1.833,3.25,3.75
1.615,3.4,5.0
5.0,3.4,1.615
2.5,3.5,2.3
4.0,3.5,1.727
1.4,3.8,8.0
2.375,3.25,2.75
1.615,3.4,5.5
2.3,3.25,2.8
2.5,3.2,2.6
1.286,4.5,10.0
2.375,3.25,2.75
2.25,3.4,2.75
2.75,3.25,2.375
2.25,3.25,2.875
2.5,3.3,2.5
1.25,5.0,10.0
1.8,3.4,4.0
1.667,3.6,4.5
3.0,3.2,2.2
1.909,3.25,3.75
2.0,3.25,3.4
2.375,3.25,2.7
3.0,3.2,2.2
4.0,3.4,1.8
2.0,3.25,3.4
2.375,3.2,2.75
